grad,gpa,app,res
"利物浦大学","60","曼彻斯特大学
The University of Manchester","申请成功"
"北京师范大学珠海分校","81","爱丁堡大学
The University of Edinburgh","申请失败"
"利物浦大学","60","爱丁堡大学
The University of Edinburgh","申请失败"
"华南农业大学","85.79","南安普顿大学
University of Southampton","申请成功"
"南开大学","82","曼彻斯特大学
The University of Manchester","申请失败"
"华侨大学","78.2","萨里大学
University of Surrey","申请成功"
"海南大学","85.61","东英吉利大学
University of East Anglia","申请成功"
"南京财经大学Nanjing University of Finance and Economics","87.87","布里斯托大学
University of Bristol","申请失败"
"密歇根州立大学","3.55","兰卡斯特大学
Lancaster University","申请成功"
"浙江大学城市学院","79.55","约克大学
University of York","申请失败"
"大连外国语大学","80","杜伦大学
Durham University","申请失败"
"广东海洋大学寸金学院","80.9","谢菲尔德大学
The University of Sheffield","申请失败"
"Shanghai University","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"浙江财经大学","85.53","格拉斯哥大学
University of Glasgow","申请失败"
"辽宁大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"Beijing Institute of Technology &Utah State","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"北京大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"山东财经大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请成功"
"吉林大学","75.83","曼彻斯特大学
The University of Manchester","申请成功"
"厦门大学","85","伦敦大学国王学院
King’s College London","申请成功"
"北京理工大学珠海学院","3.08","格拉斯哥大学
University of Glasgow","申请成功"
"北京师范大学珠海分校","3.6","利兹大学
University of Leeds","申请失败"
"中南民族大学","84.19","卡迪夫大学
Cardiff University","申请成功"
"上海工程技术大学","86","伯明翰城市大学
Birmingham City University","申请成功"
"江西科技师范大学","2.7","东英吉利大学
University of East Anglia","申请成功"
"中国海洋大学","87.6","布里斯托大学
University of Bristol","申请失败"
"赫瑞瓦特大学","申请时无合办项目成绩","萨塞克斯大学
University of Sussex","申请成功"
"北京电影学院","3.183","诺丁汉大学
The University of Nottingham","申请成功"
"考文垂大学","申请时无均分成绩","埃克塞特大学
University of Exeter","申请成功"
"北京师范大学珠海分校","3.2","杜伦大学
Durham University","申请成功"
"上海工程技术大学","77","曼彻斯特大学
The University of Manchester","申请失败"
"普利茅斯大学","申请时无海外学生成绩","拉夫堡大学
Loughborough University","申请成功"
"华南师范大学","3.4","埃克塞特大学
University of Exeter","申请成功"
"南开大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"桂林航天工业学院","3.13","利物浦大学
University of Liverpool","申请成功"
"河南农业大学","78","谢菲尔德大学
The University of Sheffield","申请成功"
"西安财经学院","83.3","纽卡斯尔大学
Newcastle University","申请成功"
"北京航空航天大学","78","伦敦大学国王学院
King’s College London","申请失败"
"江南大学","3.21","卡迪夫大学
Cardiff University","申请成功"
"吉林财经大学","92.52","布里斯托大学
University of Bristol","申请失败"
"北京理工大学珠海学院","2.66","东英吉利大学
University of East Anglia","申请成功"
"河北工业大学","3","利兹大学
University of Leeds","申请成功"
"江苏大学","82.42","巴斯大学
University of Bath","申请成功"
"中南财经政法大学","83.27","曼彻斯特大学
The University of Manchester","申请成功"
"俄勒冈大学","3.09","悉尼大学
The University of Sydney","申请失败"
"华南理工大学","3.09","伦敦大学国王学院
King’s College London","申请失败"
"衡阳市第八中学","91.3","科廷大学
Curtin University","申请成功"
"南京师范大学","84.15","利兹大学
University of Leeds","申请失败"
"北京师范大学珠海分校","3.4","新南威尔士大学
University of New South Wales","申请成功"
"福州大学至诚学院","81","墨尔本大学
The University of Melbourne","申请成功"
"绵阳中学实验学校","86.8","伦敦大学国王学院
King’s College London","申请成功"
"Chongqing University of Technology","3.2","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"Macau University of Science and Technology","申请时无GPA成绩","利兹大学
University of Leeds","申请成功"
"","申请时无均分成绩","伯明翰城市大学
Birmingham City University","申请成功"
"华东理工大学","77.3","伯明翰大学
University of Birmingham","申请失败"
"中南林业科技大学涉外学院","83","雷丁大学
University of Reading","申请成功"
"深圳大学","2.97","威斯敏斯特大学
University of Westminster","申请失败"
"苏州大学","3.7","伦敦大学国王学院
King’s College London","申请成功"
"中山大学新华学院","79.59","肯特大学
University of Kent","申请成功"
"埃克塞特大学","3","西悉尼大学
University of Western Sydney","申请失败"
"University of Nottingham","3","拉夫堡大学
Loughborough University","申请失败"
"北京服装学院","80","考文垂大学
Coventry University","申请成功"
"考文垂大学伦敦校区","2.2","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"徐州工程学院","2.5","格里菲斯大学
Griffith University","申请成功"
"暨南大学","3.64","伦敦大学国王学院
King’s College London","申请失败"
"吉林大学珠海学院","2.96","澳大利亚国立大学
The Australian National University","申请成功"
"天津财经大学","84.37","南安普顿大学
University of Southampton","申请成功"
"利物浦大学","2.1","格拉斯哥大学
University of Glasgow","申请成功"
"西交利物浦大学","52","墨尔本大学
The University of Melbourne","申请成功"
"对外经济贸易大学","85","伦敦大学国王学院
King’s College London","申请成功"
"威尔士三一圣大卫大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请成功"
"浙江财经大学","81.9","利兹大学
University of Leeds","申请成功"
"广东培正学院","80","纽卡斯尔大学
Newcastle University","申请成功"
"广东外语外贸大学","3.19","拉夫堡大学
Loughborough University","申请成功"
"南昌大学","81","伯明翰大学
University of Birmingham","申请失败"
"上海大学悉尼工商学院","3.04","曼彻斯特大学
The University of Manchester","申请失败"
"Beijing Film Academy","申请时无均分成绩","拉夫堡大学
Loughborough University","申请成功"
"北京交通大学","89","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"GUANGZHOU TIANHE MIDDLE SCHOOL","申请时无均分成绩","诺丁汉特伦特大学
Nottingham Trent University","申请成功"
"","3.33","曼彻斯特大学
The University of Manchester","申请成功"
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","3.4","伦敦大学国王学院
King’s College London","申请失败"
"北京工业大学北京-都柏林国际学院","3.8","曼彻斯特大学
The University of Manchester","申请失败"
"中山大学","78.3","拉夫堡大学
Loughborough University","申请失败"
"四川大学","87.13","曼彻斯特大学
The University of Manchester","申请失败"
"萨塞克斯大学","62","谢菲尔德大学
The University of Sheffield","申请成功"
"西安外国语大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"燕山大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请失败"
"雷丁大学","申请时无合办项目成绩","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"利物浦大学","78","曼彻斯特大学
The University of Manchester","申请成功"
"武汉大学","申请时无GPA成绩","利兹大学
University of Leeds","申请失败"
"北京中医药大学","86.3","曼彻斯特大学
The University of Manchester","申请失败"
"天津外国语大学","88","布里斯托大学
University of Bristol","申请成功"
"南京航空航天大学","75","曼彻斯特大学
The University of Manchester","申请失败"
"谢菲尔德哈勒姆大学","申请时无海外学生成绩","萨塞克斯大学
University of Sussex","申请成功"
"江南大学","3.63","谢菲尔德大学
The University of Sheffield","申请成功"
"台州学院","81.2","利兹大学
University of Leeds","申请成功"
"南京财经大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"河南大学","申请时无GPA成绩","卡迪夫大学
Cardiff University","申请成功"
"东华理工大学","73","卡迪夫大学
Cardiff University","申请失败"
"Tianjin University of Science&Technology","78.6","利兹大学
University of Leeds","申请失败"
"广东财经大学","3.28","莫纳什大学
Monash University","申请成功"
"南京理工大学紫金学院","2.45","卡迪夫大学
Cardiff University","申请成功"
"密歇根州立大学","3.55","利兹大学
University of Leeds","申请成功"
"中国人民大学","3.08","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"对外经济贸易大学","2.96","曼彻斯特大学
The University of Manchester","申请失败"
"广州市第二中学","75","悉尼科技大学
University of Technology, Sydney","申请成功"
"德蒙福特大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请成功"
"东北农业大学","79","谢菲尔德大学
The University of Sheffield","申请失败"
"朴次茅斯大学","申请时无均分成绩","谢菲尔德大学
The University of Sheffield","申请失败"
"武汉大学","3.31","利物浦大学
University of Liverpool","申请成功"
"德蒙福特大学","申请时无合办项目成绩","曼彻斯特大学
The University of Manchester","申请成功"
"中央兰开夏大学","申请时无海外学生成绩","利兹大学
University of Leeds","申请成功"
"SWANSEA UNIVERSITY","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"江西师范大学","申请时无均分成绩","南安普顿大学
University of Southampton","申请成功"
"苏州大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请成功"
"山西大同大学","81","莱斯特大学
University of Leicester","申请成功"
"普利茅斯大学","3.5","布里斯托大学
University of Bristol","申请成功"
"首都师范大学","3.36","利兹大学
University of Leeds","申请成功"
"上海对外经贸大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请成功"
"河海大学","83","伦敦大学国王学院
King’s College London","申请成功"
"南京审计大学","90","埃克塞特大学
University of Exeter","申请成功"
"辽宁工程技术大学","79.14","萨里大学
University of Surrey","申请成功"
"北京邮电大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"","申请时无均分成绩","南安普顿大学
University of Southampton","申请失败"
"江南大学","3.32","拉夫堡大学
Loughborough University","申请成功"
"China Foreign Affairs University","3.62","伦敦大学国王学院
King’s College London","申请失败"
"厦门大学","83.3","格拉斯哥大学
University of Glasgow","申请失败"
"华中科技大学","80.1","格拉斯哥大学
University of Glasgow","申请成功"
"上海大学","3.41","伦敦大学国王学院
King’s College London","申请成功"
"汕头市澄海中学","87.5","赫特福德大学
University of Hertfordshire","申请成功"
"都柏林大学","3.17","伦敦大学国王学院
King’s College London","申请成功"
"上海电机学院","80.56","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"South China Agricultural University","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"雷丁大学","62","格拉斯哥大学
University of Glasgow","申请成功"
"宁波诺丁汉大学","3.4","杜伦大学
Durham University","申请成功"
"谢菲尔德哈勒姆大学","申请时无海外学生成绩","拉夫堡大学
Loughborough University","申请成功"
"合肥工业大学","80.47","曼彻斯特大学
The University of Manchester","申请成功"
"广西民族大学","3.13","纽卡斯尔大学
Newcastle University","申请成功"
"","80","格拉斯哥大学
University of Glasgow","申请失败"
"暨南大学","80","纽卡斯尔大学
Newcastle University","申请成功"
"密歇根州立大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"吉林财经大学","88","卡迪夫大学
Cardiff University","申请失败"
"兰州大学","4.42","布里斯托大学
University of Bristol","申请成功"
"郑州工业应用技术学院","83.67","拉夫堡大学
Loughborough University","申请失败"
"雷丁大学","申请时无均分成绩","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"内蒙古大学","84","利兹大学
University of Leeds","申请失败"
"西北农林科技大学","2.74","曼彻斯特大学
The University of Manchester","申请失败"
"东安格利亚大学","申请时无均分成绩","萨里大学
University of Surrey","申请成功"
"Shanghai University of Finance and Economics","2.93","曼彻斯特大学
The University of Manchester","申请成功"
"江苏师范大学","3.2","曼彻斯特大学
The University of Manchester","申请失败"
"阿斯顿大学","77.59","利物浦大学
University of Liverpool","申请失败"
"北京师范大学-香港浸会大学联合国际学院","78","埃克塞特大学
University of Exeter","申请成功"
"南开大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"曼彻斯特大学","3.49","利物浦大学
University of Liverpool","申请成功"
"上海财经大学","3.4","布里斯托大学
University of Bristol","申请成功"
"对外经济贸易大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"考文垂大学","2.1","萨里大学
University of Surrey","申请成功"
"西南财经大学","85.12","利兹大学
University of Leeds","申请成功"
"南京工程学院","85.82","南安普顿大学
University of Southampton","申请失败"
"北京服装学院","85","格拉斯哥艺术学院
The Glasgow School of Art","申请失败"
"海南大学","2.96","埃克塞特大学
University of Exeter","申请失败"
"湖北省黄石市第三中学","87","昆士兰大学
The University of Queensland","申请成功"
"哈德斯菲尔德大学","申请时无合办项目成绩","卡迪夫大学
Cardiff University","申请成功"
"西南民族大学","83.29","伦敦大学国王学院
King’s College London","申请失败"
"利物浦大学","62.69","南安普顿大学
University of Southampton","申请成功"
"桑德兰大学","申请时无海外学生成绩","利物浦大学
University of Liverpool","申请成功"
"朴次茅斯大学","申请时无海外学生成绩","考文垂大学
Coventry University","申请成功"
"吉林农业大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"华东理工大学","3.13","利兹大学
University of Leeds","申请成功"
"东北大学","80.3","利兹大学
University of Leeds","申请失败"
"Tongji university","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"四川省成都市石室天府中学","申请时无合办项目成绩","昆士兰大学
The University of Queensland","申请成功"
"University of Nottingham","72","巴斯大学
University of Bath","申请失败"
"广东外语外贸大学","3.26","伯明翰大学
University of Birmingham","申请成功"
"巴斯斯巴大学","3.57","拉夫堡大学
Loughborough University","申请成功"
"四川音乐学院","3.1","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"哈德斯菲尔德大学","2.1","格拉斯哥大学
University of Glasgow","申请成功"
"上海外国语大学","3.42","利兹大学
University of Leeds","申请成功"
"中国传媒大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"河北交通职业技术学院","79","威斯敏斯特大学
University of Westminster","申请成功"
"","80","NCUK INTO曼彻斯特中心
NCUK INTO Manchester Centre","申请成功"
"山东财经大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请失败"
"甘肃农业大学","81.19","纽卡斯尔大学
Newcastle University","申请成功"
"江苏科技大学","82","埃克塞特大学
University of Exeter","申请失败"
"","申请时无均分成绩","南安普顿大学
University of Southampton","申请成功"
"云南财经大学","87.3","利兹大学
University of Leeds","申请成功"
"中国农业大学","3.28","莱斯特大学
University of Leicester","申请失败"
"西北农林科技大学","74.63","都柏林圣三一学院
Trinity College Dublin, the University o","申请成功"
"西南大学","3.59","利兹大学
University of Leeds","申请成功"
"广东财经大学","3.34","谢菲尔德大学
The University of Sheffield","申请失败"
"中原工学院","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"罗定邦中学","91.97","墨尔本大学
The University of Melbourne","申请成功"
"俄勒冈大学","3.09","悉尼大学
The University of Sydney","申请成功"
"北方交通大学附属中学","申请时无均分成绩","纽卡斯尔大学
Newcastle University","申请成功"
"东华大学","3.05","格拉斯哥大学
University of Glasgow","申请成功"
"Henan Normal University","申请时无GPA成绩","克兰菲尔德大学
Cranfield University","申请成功"
"普利茅斯大学","申请时无均分成绩","伯明翰大学
University of Birmingham","申请失败"
"佐治亚理工学院","2.86","纽卡斯尔大学
Newcastle University","申请成功"
"浙江外国语学院","85.47","曼彻斯特大学
The University of Manchester","申请失败"
"曼彻斯特大学","62","伦敦大学城市学院
City, University of London","申请成功"
"青岛大学","81","利物浦大学
University of Liverpool","申请成功"
"浙江大学","83.03","曼彻斯特大学
The University of Manchester","申请成功"
"华南理工大学","3.44","埃克塞特大学
University of Exeter","申请成功"
"南京航空航天大学","3.1","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"普利茅斯大学","申请时无合办项目成绩","约克大学
University of York","申请失败"
"常熟理工学院","76.48","卡迪夫大学
Cardiff University","申请失败"
"上海外国语大学","3.18","拉夫堡大学
Loughborough University","申请成功"
"西南政法大学","84","南安普顿大学
University of Southampton","申请成功"
"哈尔滨商业大学","77","格拉斯哥大学
University of Glasgow","申请失败"
"东北财经大学","3.28","曼彻斯特大学
The University of Manchester","申请失败"
"普利茅斯大学","申请时无合办项目成绩","萨塞克斯大学
University of Sussex","申请失败"
"中央财经大学","87.1","伦敦大学国王学院
King’s College London","申请失败"
"临沂大学","79.2","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"重庆第二师范学院","83.78","格拉斯哥大学
University of Glasgow","申请失败"
"Beijing University of Posts and Telecommunications","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请成功"
"宁波诺丁汉大学","申请时无均分成绩","悉尼科技大学
University of Technology, Sydney","申请成功"
"中南林业科技大学","81.97","南安普顿大学
University of Southampton","申请失败"
"云南财经大学","87.3","曼彻斯特大学
The University of Manchester","申请成功"
"天津财经大学","81","昆士兰大学
The University of Queensland","申请成功"
"河南工业大学","80","埃克塞特大学
University of Exeter","申请成功"
"中央兰开夏大学","申请时无海外学生成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"四川大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"朴次茅斯大学","申请时无海外学生成绩","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"德蒙福特大学","申请时无海外学生成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"兰州大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"俄克拉荷马城市大学","4.019","伦敦大学伯贝克学院
Birkbeck, University of London","申请失败"
"","3.65","威斯敏斯特大学
University of Westminster","申请成功"
"上海杉达学院","3.2","曼彻斯特大学
The University of Manchester","申请失败"
"湖南广益实验中学","79.775","悉尼科技大学
University of Technology, Sydney","申请成功"
"中国传媒大学","83","谢菲尔德大学
The University of Sheffield","申请成功"
"浙江纺织服装职业技术学院","82","南安普顿大学
University of Southampton","申请失败"
"华南理工大学","2.9","莱斯特大学
University of Leicester","申请失败"
"中央兰开夏大学","申请时无海外学生成绩","曼彻斯特大学
The University of Manchester","申请失败"
"上海交通大学","85","南安普顿大学
University of Southampton","申请成功"
"Zhongnan University of Economics and Law","2.98","卡迪夫大学
Cardiff University","申请成功"
"吉林财经大学","82.47","南澳大学
University of South Australia","申请成功"
"武汉大学","3.25","利兹大学
University of Leeds","申请成功"
"广东外语外贸大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"吉林大学珠海学院","79.64","考文垂大学
Coventry University","申请成功"
"宁波诺丁汉大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"朴次茅斯大学","申请时无海外学生成绩","曼彻斯特大学
The University of Manchester","申请成功"
"天津师范大学","2.9","谢菲尔德大学
The University of Sheffield","申请成功"
"深圳职业技术学院","85.5","班戈大学
Bangor University","申请成功"
"南京工业大学","81","萨塞克斯大学
University of Sussex","申请成功"
"华东政法大学","3.25","布里斯托大学
University of Bristol","申请成功"
"东南大学","84","曼彻斯特大学
The University of Manchester","申请成功"
"谢菲尔德哈勒姆大学","申请时无均分成绩","格拉斯哥大学
University of Glasgow","申请失败"
"南昌理工学院","2.5","萨塞克斯大学
University of Sussex","申请成功"
"北京师范大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"广东财经大学","3.13","南安普顿大学
University of Southampton","申请失败"
"南京工业大学浦江学院","77","纽卡斯尔大学
Newcastle University","申请成功"
"厦门大学","3.6","曼彻斯特大学
The University of Manchester","申请失败"
"郑州大学","3.4","东英吉利大学
University of East Anglia","申请失败"
"上海立信会计金融学院","81.6","利兹大学
University of Leeds","申请失败"
"兰卡斯特大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"宁波诺丁汉大学","63","曼彻斯特大学
The University of Manchester","申请失败"
"北京农学院","77.73","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"福建师范大学","76.38","拉夫堡大学
Loughborough University","申请失败"
"宁波诺丁汉大学","69","爱丁堡大学
The University of Edinburgh","申请失败"
"南开大学滨海学院","86.3","利兹大学
University of Leeds","申请失败"
"University of Bristol","申请时无海外学生成绩","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请成功"
"重庆大学城市科技学院","77.58","贝尔法斯特女王大学
Queen＇s University Belfast","申请成功"
"南京信息工程大学","82","南安普顿大学
University of Southampton","申请成功"
"北京第二外国语学院中瑞酒店管理学院","3.81","卡迪夫大学
Cardiff University","申请成功"
"北京外国语大学","80","卡迪夫大学
Cardiff University","申请成功"
"中原工学院","3.09","萨里大学
University of Surrey","申请成功"
"朴次茅斯大学","申请时无合办项目成绩","萨里大学
University of Surrey","申请成功"
"华东政法大学","3.76","伦敦大学国王学院
King’s College London","申请失败"
"湖南师范大学树达学院","2.12","斯特灵大学
University of Stirling","申请成功"
"中央兰开夏大学","80","萨塞克斯大学
University of Sussex","申请成功"
"湖北汽车工业学院","78","斯特灵大学
University of Stirling","申请成功"
"阿斯隆理工学院","78","卡迪夫大学
Cardiff University","申请成功"
"南京审计学院","80.6","萨里大学
University of Surrey","申请成功"
"长沙理工大学","3.18","利兹大学
University of Leeds","申请成功"
"谢菲尔德哈勒姆大学","申请时无海外学生成绩","雷丁大学
University of Reading","申请成功"
"华南农业大学珠江学院","3.62","萨塞克斯大学
University of Sussex","申请成功"
"兰州财经大学","3.88","拉夫堡大学
Loughborough University","申请成功"
"BEIJING INSTITUTE OF FASHION TECHNOLOGY","申请时无均分成绩","伯明翰城市大学
Birmingham City University","申请失败"
"福建师范大学福清分校","82.6","伦敦大学亚非学院
SOAS, University of London","申请成功"
"山东财经大学","82.79","南安普顿大学
University of Southampton","申请失败"
"","75.1","拉夫堡大学
Loughborough University","申请失败"
"湖南大学","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"四川传媒学院","2.96","利兹大学
University of Leeds","申请成功"
"云南财经大学","83","利兹大学
University of Leeds","申请失败"
"普利茅斯大学","申请时无合办项目成绩","雷丁大学
University of Reading","申请成功"
"太原理工大学现代科技学院","3.53","卡迪夫大学
Cardiff University","申请失败"
"浙江大学","1","曼彻斯特大学
The University of Manchester","申请成功"
"中央财经大学和澳洲维多利亚大学合作课程","80.5","南安普顿大学
University of Southampton","申请失败"
"华南理工大学South China University of Technology","3.48","曼彻斯特大学
The University of Manchester","申请成功"
"天津城建大学","81.65","谢菲尔德大学
The University of Sheffield","申请成功"
"西安电子科技大学","申请时无均分成绩","布里斯托大学
University of Bristol","申请失败"
"河南大学","3.32","诺丁汉大学
The University of Nottingham","申请失败"
"河南大学民生学院","80.98","卡迪夫大学
Cardiff University","申请成功"
"外交学院","85.4","威斯敏斯特大学
University of Westminster","申请失败"
"London District Christian Secondary School","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"广东外语外贸大学","3.64","伦敦大学国王学院
King’s College London","申请失败"
"利物浦大学","78","墨尔本大学
The University of Melbourne","申请成功"
"南京师范大学","85.98","曼彻斯特大学
The University of Manchester","申请失败"
"天津外国语学院滨海外事学院","89","利兹大学
University of Leeds","申请失败"
"边山大学","申请时无海外学生成绩","赫瑞瓦特大学
Heriot-Watt University","申请成功"
"上海立信会计学院","3.48","曼彻斯特大学
The University of Manchester","申请失败"
"华南农业大学","3.84","南安普顿大学
University of Southampton","申请成功"
"南京审计学院金审学院","83","南安普顿大学
University of Southampton","申请失败"
"中山大学南方学院","申请时无均分成绩","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请失败"
"长沙理工大学","2.93","利物浦大学
University of Liverpool","申请成功"
"华东师范大学","2.83","曼彻斯特大学
The University of Manchester","申请成功"
"德蒙福特大学","申请时无合办项目成绩","伯明翰大学
University of Birmingham","申请成功"
"武汉大学","2.91","利兹大学
University of Leeds","申请成功"
"Coventry University","63","曼彻斯特大学
The University of Manchester","申请成功"
"中国地质大学（武汉）","83","纽卡斯尔大学
Newcastle University","申请失败"
"","87","悉尼科技大学
University of Technology, Sydney","申请成功"
"四川外国语大学","85.77","卡迪夫大学
Cardiff University","申请成功"
"湘南学院","84.5","莱斯特大学
University of Leicester","申请成功"
"天津外国语大学","80","谢菲尔德大学
The University of Sheffield","申请成功"
"","3.38","利兹大学
University of Leeds","申请成功"
"University of California San Diego","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"上海外国语大学贤达经济人文学院","81.2","纽卡斯尔大学
Newcastle University","申请成功"
"朴次茅斯大学","申请时无海外学生成绩","利物浦大学
University of Liverpool","申请成功"
"Zhengzhou University","3","谢菲尔德大学
The University of Sheffield","申请失败"
"北京服装学院","81.4","利兹大学
University of Leeds","申请成功"
"中国药科大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"威海市常春藤外国语学校","1.6","马努卡理工学院
Manukau Institute of Technology","申请成功"
"普利茅斯大学","申请时无海外学生成绩","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"广东外语外贸大学","申请时无均分成绩","卡迪夫大学
Cardiff University","申请成功"
"上海海事大学","2.12","伯恩茅斯大学
Bournemouth University","申请成功"
"朴次茅斯大学","申请时无均分成绩","谢菲尔德大学
The University of Sheffield","申请成功"
"普利茅斯大学","申请时无海外学生成绩","伯明翰大学
University of Birmingham","申请成功"
"约克圣约翰大学","申请时无海外学生成绩","利物浦大学
University of Liverpool","申请失败"
"德蒙福特大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"郑州航空工业管理学院","79.21","斯特灵大学
University of Stirling","申请成功"
"西南财经大学","3.3","伦敦大学国王学院
King’s College London","申请失败"
"厦门大学","3","兰卡斯特大学
Lancaster University","申请失败"
"东北林业大学","70.65","赫瑞瓦特大学
Heriot-Watt University","申请成功"
"广东外语外贸大学","3.47","爱丁堡大学
The University of Edinburgh","申请失败"
"东北林业大学","70.98","埃塞克斯大学
University of Essex","申请失败"
"天津体育学院","82","悉尼大学
The University of Sydney","申请成功"
"北京交通大学","2.64","曼彻斯特大学
The University of Manchester","申请失败"
"四川大学","86.61","伦敦大学国王学院
King’s College London","申请失败"
"兰州大学Lanzhou University","3.47","利兹大学
University of Leeds","申请成功"
"浙江大学城市学院","申请时无均分成绩","伦敦大学国王学院
King’s College London","申请失败"
"The University of Manchester","申请时无均分成绩","伦敦大学玛丽皇后学院
Queen Mary, University of London","申请失败"
"华东师范大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"中南财经政法大学","85.75","伯明翰大学
University of Birmingham","申请成功"
"朴次茅斯大学","申请时无合办项目成绩","拉夫堡大学
Loughborough University","申请成功"
"卡迪夫大学","2.1","格拉斯哥大学
University of Glasgow","申请成功"
"重庆工商大学","84.93","利兹大学
University of Leeds","申请失败"
"阿尔伯塔大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请成功"
"普利茅斯大学","申请时无均分成绩","约克大学
University of York","申请成功"
"诺丁汉大学","62","巴斯大学
University of Bath","申请成功"
"澳门科技大学","2.9","萨里大学
University of Surrey","申请成功"
"伊利诺伊大学厄巴纳-香槟分校","3.01","曼彻斯特大学
The University of Manchester","申请成功"
"江汉大学","83","爱丁堡大学
The University of Edinburgh","申请失败"
"江苏科技大学","79.2","利兹大学
University of Leeds","申请失败"
"巴斯斯巴大学","申请时无均分成绩","伦敦大学皇家霍洛威学院
Royal Holloway, University of London","申请成功"
"上海杉达学院","82.86","卡迪夫大学
Cardiff University","申请成功"
"四川外国语大学","86.51","爱丁堡大学
The University of Edinburgh","申请成功"
"Shanxi University","80","卡迪夫大学
Cardiff University","申请成功"
"湖南大学","85.87","曼彻斯特大学
The University of Manchester","申请成功"
"BA business and managemen","申请时无均分成绩","赫特福德大学
University of Hertfordshire","申请成功"
"同济大学","81.33","伦敦大学国王学院
King’s College London","申请成功"
"","84.41","威斯敏斯特大学
University of Westminster","申请成功"
"普利茅斯大学","申请时无均分成绩","萨塞克斯大学
University of Sussex","申请成功"
"北京理工大学","申请时无均分成绩","布鲁内尔大学
Brunel University London","申请成功"
"重庆大学","申请时无均分成绩","曼彻斯特大学
The University of Manchester","申请失败"
"西南民族大学","3.75","萨里大学
University of Surrey","申请成功"
"华南理工大学广州学院","申请时无均分成绩","雷丁大学
University of Reading","申请成功"
"华南理工大学","3.44","布里斯托大学
University of Bristol","申请成功"
